package_name,package_title,resource_name,resource_format,columns,has_example_row,description
indikatorenatlas-bevoelkerung-wohndauer-muenchen-83r65mct,Indikatorenatlas: Bevölkerung - Wohndauer München,Wohndauer München,csv,10,True,Indikatorenatlas: Bevölkerung - Wohndauer München
solarpotenzial_globalstrahlung_p_02,Solarpotenzialanalyse 2018 der Landeshauptstadt München,Metadaten (XML),xml,20,True,"Basierend auf einem 3D-Modell, stellt die Solarpotenzialanalyse auf Grundlage von Ausrichtung, Neigung und Verschattung die einfallende Globalstrahlung in kWh/m2a auf alle Dachflächen dar. Die Analyse berücksichtigt Formparameter der Dachfläche und Denkmalschutzbelange. Die Solarpotenzialanalyse dient zur Erstinformation über vorhandene Solarpotenziale für interessierte Bürgerinnen und Bürger. Das Referat für Stadtplanung und Bauordnung stellt die Daten mit der erforderlichen Sorgfalt bereit. Eine Gewähr für die Richtigkeit, Vollzähligkeit, Maßhaltigkeit und Genauigkeit der überlassenen Daten wird nicht übernommen. Insoweit besteht auch keine Haftung für unrichtige Angaben, Übertragungsfehler, Folgeschäden oder sonstige Schäden jeglicher Art."
abfall_sonstiges_opendata,Sonstige Abfallentsorgungsanlagen (Opendata),Metadaten (XML),xml,20,True,Sonstige Abfallentsorgungsanlagen
abfall_sonstiges_opendata,Sonstige Abfallentsorgungsanlagen (Opendata),WFS (GML),xml,78,True,Sonstige Abfallentsorgungsanlagen
abfall_sonstiges_opendata,Sonstige Abfallentsorgungsanlagen (Opendata),WFS (CSV),csv,21,True,Sonstige Abfallentsorgungsanlagen
bestand_sbh_opendata,Sozialbürgerhaus,Metadaten (XML),xml,20,True,Im SBH werden die bürgerorientierten sozialen Dienstleistungen unter einem Dach und einer gemeinsamen regionalen Zuständigkeit angeboten. Das SBH besteht aus dem SBH Soziales und dem SBH Arbeit (JC).
bestand_sbh_opendata,Sozialbürgerhaus,WFS (GML),xml,63,True,Im SBH werden die bürgerorientierten sozialen Dienstleistungen unter einem Dach und einer gemeinsamen regionalen Zuständigkeit angeboten. Das SBH besteht aus dem SBH Soziales und dem SBH Arbeit (JC).
bestand_sbh_opendata,Sozialbürgerhaus,WFS (CSV),csv,17,True,Im SBH werden die bürgerorientierten sozialen Dienstleistungen unter einem Dach und einer gemeinsamen regionalen Zuständigkeit angeboten. Das SBH besteht aus dem SBH Soziales und dem SBH Arbeit (JC).
abfall_gewerbemisch_opendata,Anlagen zur Sortierung von Baustellen- und Gewerbemischabfällen (Opendata),Metadaten (XML),xml,20,True,Anlagen zur Sortierung von Baustellen- und Gewerbemischabfällen
abfall_gewerbemisch_opendata,Anlagen zur Sortierung von Baustellen- und Gewerbemischabfällen (Opendata),WFS (GML),xml,78,True,Anlagen zur Sortierung von Baustellen- und Gewerbemischabfällen
abfall_gewerbemisch_opendata,Anlagen zur Sortierung von Baustellen- und Gewerbemischabfällen (Opendata),WFS (CSV),csv,21,True,Anlagen zur Sortierung von Baustellen- und Gewerbemischabfällen
awm_container_barrierefrei,Barrierefreie Container für Altglas,WFS (GML),xml,39,True,"Der Dienst liefert einen Überblick über die Standorte der barrierefreien Container für Altglas. Die Übersicht erhebt keinen Anspruch auf Aktualität, Richtigkeit und Vollständigkeit. Für die Leerung der Wertstoffcontainer für Glas, die Sauberkeit der Wertstoffinseln und die Standortauswahl sind die Firmen REMONDIS und Wittmann zuständig. Bitte wenden Sie sich bei Fragen an die für die jeweilige Wertstoffinsel zuständige Firma."
awm_container_barrierefrei,Barrierefreie Container für Altglas,WFS (CSV),csv,8,True,"Der Dienst liefert einen Überblick über die Standorte der barrierefreien Container für Altglas. Die Übersicht erhebt keinen Anspruch auf Aktualität, Richtigkeit und Vollständigkeit. Für die Leerung der Wertstoffcontainer für Glas, die Sauberkeit der Wertstoffinseln und die Standortauswahl sind die Firmen REMONDIS und Wittmann zuständig. Bitte wenden Sie sich bei Fragen an die für die jeweilige Wertstoffinsel zuständige Firma."
awm_container_barrierefrei,Barrierefreie Container für Altglas,Metadaten (XML),xml,373,True,"Der Dienst liefert einen Überblick über die Standorte der barrierefreien Container für Altglas. Die Übersicht erhebt keinen Anspruch auf Aktualität, Richtigkeit und Vollständigkeit. Für die Leerung der Wertstoffcontainer für Glas, die Sauberkeit der Wertstoffinseln und die Standortauswahl sind die Firmen REMONDIS und Wittmann zuständig. Bitte wenden Sie sich bei Fragen an die für die jeweilige Wertstoffinsel zuständige Firma."
abfall_betrieb_opendata,Abfallentsorgungsanlagen der Landeshauptstadt München,Metadaten (XML),xml,24,True,"Anlagen zur Behandlung, Lagerung und Ablagerung von Abfällen"
abfall_betrieb_opendata,Abfallentsorgungsanlagen der Landeshauptstadt München,WFS (GML),xml,78,True,"Anlagen zur Behandlung, Lagerung und Ablagerung von Abfällen"
abfall_betrieb_opendata,Abfallentsorgungsanlagen der Landeshauptstadt München,WFS (CSV),csv,21,True,"Anlagen zur Behandlung, Lagerung und Ablagerung von Abfällen"
vollst_pflegeeinrichtung_opendata,Vollstationäre Pflegeeinrichtungen,Metadaten (XML),xml,20,True,Standorte und Adressen der vollstationären Pflegeeinrichtungen
vollst_pflegeeinrichtung_opendata,Vollstationäre Pflegeeinrichtungen,WFS (GML),xml,48,True,Standorte und Adressen der vollstationären Pflegeeinrichtungen
vollst_pflegeeinrichtung_opendata,Vollstationäre Pflegeeinrichtungen,WFS (CSV),csv,15,True,Standorte und Adressen der vollstationären Pflegeeinrichtungen
abfall_papier_opendata,Anlagen zur Lagerung und Behandlung von Altpapier (Opendata),Metadaten (XML),xml,20,True,Anlagen zur Lagerung und Behandlung von Altpapier
abfall_papier_opendata,Anlagen zur Lagerung und Behandlung von Altpapier (Opendata),WFS (GML),xml,78,True,Anlagen zur Lagerung und Behandlung von Altpapier
abfall_papier_opendata,Anlagen zur Lagerung und Behandlung von Altpapier (Opendata),WFS (CSV),csv,21,True,Anlagen zur Lagerung und Behandlung von Altpapier
abfall_elektronik_opendata,Anlagen zur Lagerung und Behandlung von Elektronikschrott (Opendata),Metadaten (XML),xml,20,True,Anlagen zur Lagerung und Behandlung von Elektronikschrott
abfall_elektronik_opendata,Anlagen zur Lagerung und Behandlung von Elektronikschrott (Opendata),WFS (GML),xml,78,True,Anlagen zur Lagerung und Behandlung von Elektronikschrott
abfall_elektronik_opendata,Anlagen zur Lagerung und Behandlung von Elektronikschrott (Opendata),WFS (CSV),csv,21,True,Anlagen zur Lagerung und Behandlung von Elektronikschrott
awm_container_opendata,Wertstoffinseln in München,WFS (GML),xml,48,True,"Die Stadtkarte liefert einen Überblick über die Standorte der Wertstoffinseln mit den AWM-Altkleidercontainern und den Wertstoffcontainern für Glas und Verpackungen aus Kunststoff und Metall. Die Übersicht erhebt keinen Anspruch auf Aktualität, Richtigkeit und Vollständigkeit. Für die Leerung der Wertstoffcontainer für Glas und Verpackungen, die Sauberkeit der Wertstoffinseln und die Standortauswahl sind die Firmen REMONDIS und Wittmann zuständig. Bitte wenden Sie sich bei Fragen an die für die jeweilige Wertstoffinsel zuständige Firma."
awm_container_opendata,Wertstoffinseln in München,WFS (CSV),csv,11,True,"Die Stadtkarte liefert einen Überblick über die Standorte der Wertstoffinseln mit den AWM-Altkleidercontainern und den Wertstoffcontainern für Glas und Verpackungen aus Kunststoff und Metall. Die Übersicht erhebt keinen Anspruch auf Aktualität, Richtigkeit und Vollständigkeit. Für die Leerung der Wertstoffcontainer für Glas und Verpackungen, die Sauberkeit der Wertstoffinseln und die Standortauswahl sind die Firmen REMONDIS und Wittmann zuständig. Bitte wenden Sie sich bei Fragen an die für die jeweilige Wertstoffinsel zuständige Firma."
awm_container_opendata,Wertstoffinseln in München,Metadaten (XML),xml,373,True,"Die Stadtkarte liefert einen Überblick über die Standorte der Wertstoffinseln mit den AWM-Altkleidercontainern und den Wertstoffcontainern für Glas und Verpackungen aus Kunststoff und Metall. Die Übersicht erhebt keinen Anspruch auf Aktualität, Richtigkeit und Vollständigkeit. Für die Leerung der Wertstoffcontainer für Glas und Verpackungen, die Sauberkeit der Wertstoffinseln und die Standortauswahl sind die Firmen REMONDIS und Wittmann zuständig. Bitte wenden Sie sich bei Fragen an die für die jeweilige Wertstoffinsel zuständige Firma."
bestand_asz_opendata,Alten- und Servicezentrum,Metadaten (XML),xml,20,True,"Standorte und Adressen der Alten-und Service-Zentren.<br> für weitere Informationen siehe <a target=""_blank"" href=""stadt.muenchen.de/infos/asz-alten-service-zentrum.html"">Sozialreferat München</a>"
bestand_asz_opendata,Alten- und Servicezentrum,WFS (GML),xml,60,True,"Standorte und Adressen der Alten-und Service-Zentren.<br> für weitere Informationen siehe <a target=""_blank"" href=""stadt.muenchen.de/infos/asz-alten-service-zentrum.html"">Sozialreferat München</a>"
bestand_asz_opendata,Alten- und Servicezentrum,WFS (CSV),csv,15,True,"Standorte und Adressen der Alten-und Service-Zentren.<br> für weitere Informationen siehe <a target=""_blank"" href=""stadt.muenchen.de/infos/asz-alten-service-zentrum.html"">Sozialreferat München</a>"
abfall_kompost_opendata,"Anlagen zur Lagerung und Behandlung von Kompost, Biomüll und Erden (Opendata)",Metadaten (XML),xml,20,True,"Anlagen zur Lagerung und Behandlung von Kompost, Biomüll und Erden"
abfall_kompost_opendata,"Anlagen zur Lagerung und Behandlung von Kompost, Biomüll und Erden (Opendata)",WFS (GML),xml,78,True,"Anlagen zur Lagerung und Behandlung von Kompost, Biomüll und Erden"
abfall_kompost_opendata,"Anlagen zur Lagerung und Behandlung von Kompost, Biomüll und Erden (Opendata)",WFS (CSV),csv,21,True,"Anlagen zur Lagerung und Behandlung von Kompost, Biomüll und Erden"
lsa_opendata,Lichtsignalanlagen,Metadaten (XML),xml,20,True,Lichtsignalanlagen
lsa_opendata,Lichtsignalanlagen,WFS (GML),xml,33,True,Lichtsignalanlagen
lsa_opendata,Lichtsignalanlagen,WFS (CSV),csv,9,True,Lichtsignalanlagen
gebaeude_waermedichte_o_geb_03,Wärmedichte,Metadaten (XML),xml,20,True,"Die Wärmedichte ist ein Indikator für die Realisierbarkeit von netzgebundener Wärmeversorgung. Gebiete mit hohen Wärmedichten können sich gut für Fernwärmenetze eignen. Niedrige Wärmedichten eigenen sich besser für (kleine) Nahwärmenetze und dezentrale Wärmeversorgung. Das Referat für Stadtplanung und Bauordnung stellt die Daten mit der erforderlichen Sorgfalt bereit. Eine Gewähr für die Richtigkeit, Vollzähligkeit, Maßhaltigkeit und Genauigkeit der überlassenen Daten wird nicht übernommen. Insoweit besteht auch keine Haftung für unrichtige Angaben, Übertragungsfehler, Folgeschäden oder sonstige Schäden jeglicher Art."
bestand_nachbarschaftstreffs_opendata,Nachbarschaftstreffs,Metadaten (XML),xml,20,True,"Ein Nachbarschaftstreff ist ein Treffpunkt und offener Raum für alle Menschen, die im Viertel leben. Hier werden Ideen ausgetauscht und soziale oder kulturelle Projekte zusammen umgesetzt."
bestand_nachbarschaftstreffs_opendata,Nachbarschaftstreffs,WFS (GML),xml,33,True,"Ein Nachbarschaftstreff ist ein Treffpunkt und offener Raum für alle Menschen, die im Viertel leben. Hier werden Ideen ausgetauscht und soziale oder kulturelle Projekte zusammen umgesetzt."
bestand_nachbarschaftstreffs_opendata,Nachbarschaftstreffs,WFS (CSV),csv,6,True,"Ein Nachbarschaftstreff ist ein Treffpunkt und offener Raum für alle Menschen, die im Viertel leben. Hier werden Ideen ausgetauscht und soziale oder kulturelle Projekte zusammen umgesetzt."
awm_wertstoffhoefe_opendata,Wertstoffhöfe der Landeshauptstadt München,WFS (CSV),csv,5,True,"An den Wertstoffhöfen können Sie sperrige Abfälle, Problemstoffe und Grünschnitt in haushaltsüblicher Art und Menge gebührenfrei abgeben. Größere Mengen nehmen gegen eine Gebühr die Wertstoffhöfe Plus in Freimann und Langwied an. Bitte sortieren Sie vor. Damit erleichtern Sie sich die Abgabe vor Ort und verringern die Abladezeit. <br> Weitere Informationen unter <a target=""_blank"" href=""www.awm-muenchen.de/entsorgen/wertstoffhoefe"">Wertstoffhöfe München</a>"
awm_wertstoffhoefe_opendata,Wertstoffhöfe der Landeshauptstadt München,WFS (GML),xml,30,True,"An den Wertstoffhöfen können Sie sperrige Abfälle, Problemstoffe und Grünschnitt in haushaltsüblicher Art und Menge gebührenfrei abgeben. Größere Mengen nehmen gegen eine Gebühr die Wertstoffhöfe Plus in Freimann und Langwied an. Bitte sortieren Sie vor. Damit erleichtern Sie sich die Abgabe vor Ort und verringern die Abladezeit. <br> Weitere Informationen unter <a target=""_blank"" href=""www.awm-muenchen.de/entsorgen/wertstoffhoefe"">Wertstoffhöfe München</a>"
abfall_auto_metall_opendata,"Anlagen zur Lagerung und Behandlung von Autowracks, Schrotten und Metallen (Opendata)",Metadaten (XML),xml,20,True,"Anlagen zur Lagerung und Behandlung von Autowracks, Schrotten und Metallen"
abfall_auto_metall_opendata,"Anlagen zur Lagerung und Behandlung von Autowracks, Schrotten und Metallen (Opendata)",WFS (GML),xml,78,True,"Anlagen zur Lagerung und Behandlung von Autowracks, Schrotten und Metallen"
abfall_auto_metall_opendata,"Anlagen zur Lagerung und Behandlung von Autowracks, Schrotten und Metallen (Opendata)",WFS (CSV),csv,21,True,"Anlagen zur Lagerung und Behandlung von Autowracks, Schrotten und Metallen"
maerkte,Märkte der Landeshauptstadt München,WFS (GML),xml,46,True,"Die großen Münchner Märkte und Wochenmärkte. Neben dem Viktualienmarkt gibt es in nahezu jedem Münchner Stadtteil Wochenmärkte, zudem bieten verschiedene Bauernmärkte in München eine ganze Palette an Produkten aus der Region an. Der Dienst wird als WMS und WFS angeboten."
maerkte,Märkte der Landeshauptstadt München,WFS (CSV),csv,12,True,"Die großen Münchner Märkte und Wochenmärkte. Neben dem Viktualienmarkt gibt es in nahezu jedem Münchner Stadtteil Wochenmärkte, zudem bieten verschiedene Bauernmärkte in München eine ganze Palette an Produkten aus der Region an. Der Dienst wird als WMS und WFS angeboten."
maerkte,Märkte der Landeshauptstadt München,Metadaten (XML),xml,22,True,"Die großen Münchner Märkte und Wochenmärkte. Neben dem Viktualienmarkt gibt es in nahezu jedem Münchner Stadtteil Wochenmärkte, zudem bieten verschiedene Bauernmärkte in München eine ganze Palette an Produkten aus der Region an. Der Dienst wird als WMS und WFS angeboten."
erlaeuterung_strassennamen,Informationen zu Straßennamen,Metadaten (XML),xml,31,True,"Informationen über die Namen von Straßen und Plätzen ab 1996: Amtliche Namenserläuterung, Benennungsdatum, weiblich/männlich/sächlich, Stadtbezirk"
erlaeuterung_strassennamen,Informationen zu Straßennamen,WFS (GML),xml,32,True,"Informationen über die Namen von Straßen und Plätzen ab 1996: Amtliche Namenserläuterung, Benennungsdatum, weiblich/männlich/sächlich, Stadtbezirk"
erlaeuterung_strassennamen,Informationen zu Straßennamen,WFS (CSV),csv,8,True,"Informationen über die Namen von Straßen und Plätzen ab 1996: Amtliche Namenserläuterung, Benennungsdatum, weiblich/männlich/sächlich, Stadtbezirk"
baut_strassenabschnitte_wu,Straßennetzgraf Baureferat Tiefbau,WFS (GML),xml,32,True,"Der Straßennetzgraf der Hauptabteilung Tiefbau ist ein Linienthema, das Straßenzüge der Landeshauptstadt München durch ein Netzwerk abbildet. Berücksichtigt werden in dieser Kartendarstellung nur Straßen bzw. Straßenabschnitte, die nach Bayerischem Straßen- und Wegegesetz (BayStrWG) sowie dem Bundesfernstraßengesetz (FStrG) gewidmet und in der Baulast der Landeshauptstadt München und somit in der Zuständigkeit der Hauptabteilung Tiefbau sind. Die Beschriftung setzt sich aus den folgenden Komponenten zusammen: Straßenschlüssel || Abschnittsnummer || Länge Beispiel: 5666 || 100 || 114m Definition: Straßenschlüssel: Jede Straße der Landeshauptstadt München erhält eine eindeutige Nummer. Für die Vergabe der Nummern ist das Kommunalreferat zuständig. Abschnittsnummer: Eindeutige Nummerierung der Straßenabschnitte einer Straße. Die Abschnittsnummern werden vom Baureferat Tiefbau vergeben. Die Abschnittsnummerierung erfolgt in der Regel hausnummernaufwärts und in Hunderterschritten. Abweichungen sind systembedingt möglich. Länge: Hierbei handelt es sich um die Länge der dargestellten Linie und nicht um die tatsächliche Länge des Straßenabschnitts."
baut_strassenabschnitte_wu,Straßennetzgraf Baureferat Tiefbau,WFS (CSV),csv,5,True,"Der Straßennetzgraf der Hauptabteilung Tiefbau ist ein Linienthema, das Straßenzüge der Landeshauptstadt München durch ein Netzwerk abbildet. Berücksichtigt werden in dieser Kartendarstellung nur Straßen bzw. Straßenabschnitte, die nach Bayerischem Straßen- und Wegegesetz (BayStrWG) sowie dem Bundesfernstraßengesetz (FStrG) gewidmet und in der Baulast der Landeshauptstadt München und somit in der Zuständigkeit der Hauptabteilung Tiefbau sind. Die Beschriftung setzt sich aus den folgenden Komponenten zusammen: Straßenschlüssel || Abschnittsnummer || Länge Beispiel: 5666 || 100 || 114m Definition: Straßenschlüssel: Jede Straße der Landeshauptstadt München erhält eine eindeutige Nummer. Für die Vergabe der Nummern ist das Kommunalreferat zuständig. Abschnittsnummer: Eindeutige Nummerierung der Straßenabschnitte einer Straße. Die Abschnittsnummern werden vom Baureferat Tiefbau vergeben. Die Abschnittsnummerierung erfolgt in der Regel hausnummernaufwärts und in Hunderterschritten. Abweichungen sind systembedingt möglich. Länge: Hierbei handelt es sich um die Länge der dargestellten Linie und nicht um die tatsächliche Länge des Straßenabschnitts."
baut_strassenabschnitte_wu,Straßennetzgraf Baureferat Tiefbau,Metadaten (XML),xml,373,True,"Der Straßennetzgraf der Hauptabteilung Tiefbau ist ein Linienthema, das Straßenzüge der Landeshauptstadt München durch ein Netzwerk abbildet. Berücksichtigt werden in dieser Kartendarstellung nur Straßen bzw. Straßenabschnitte, die nach Bayerischem Straßen- und Wegegesetz (BayStrWG) sowie dem Bundesfernstraßengesetz (FStrG) gewidmet und in der Baulast der Landeshauptstadt München und somit in der Zuständigkeit der Hauptabteilung Tiefbau sind. Die Beschriftung setzt sich aus den folgenden Komponenten zusammen: Straßenschlüssel || Abschnittsnummer || Länge Beispiel: 5666 || 100 || 114m Definition: Straßenschlüssel: Jede Straße der Landeshauptstadt München erhält eine eindeutige Nummer. Für die Vergabe der Nummern ist das Kommunalreferat zuständig. Abschnittsnummer: Eindeutige Nummerierung der Straßenabschnitte einer Straße. Die Abschnittsnummern werden vom Baureferat Tiefbau vergeben. Die Abschnittsnummerierung erfolgt in der Regel hausnummernaufwärts und in Hunderterschritten. Abweichungen sind systembedingt möglich. Länge: Hierbei handelt es sich um die Länge der dargestellten Linie und nicht um die tatsächliche Länge des Straßenabschnitts."
opendata_trinkwasserbrunnen,Stadtplan der städtischen Trinkbrunnen,WFS (GML),xml,25,True,Dieser Datensatz beinhaltet die Trinkbrunnen der Landeshauptstadt München
opendata_trinkwasserbrunnen,Stadtplan der städtischen Trinkbrunnen,WFS (CSV),csv,5,True,Dieser Datensatz beinhaltet die Trinkbrunnen der Landeshauptstadt München
opendata_trinkwasserbrunnen,Stadtplan der städtischen Trinkbrunnen,Metadaten (XML),xml,381,True,Dieser Datensatz beinhaltet die Trinkbrunnen der Landeshauptstadt München
wc_finder,WC-Standorte der Landeshauptstadt München,Metadaten (XML),xml,20,True,"Die Daten beinhalten die Standorte der öffentlichen Toiletten, die sich im Besitz der Landeshauptstadt München befinden. Es werden sowohl barrierefreie als auch nicht barrierefreie Toiletten dargestellt. Der Nutzer kann auf ausführliche Informationen hinsichtlich Zugänglichkeit, Ausstattung und Zustand der Toiletten zugreifen. Wir bemühen uns, die Informationen zu den Maßnahmen aktuell und inhaltlich richtig anzubieten, die Karte bietet dennoch keine Gewähr auf Richtigkeit, Vollständigkeit und Aktualität."
wc_finder,WC-Standorte der Landeshauptstadt München,WFS (GML),xml,288,True,"Die Daten beinhalten die Standorte der öffentlichen Toiletten, die sich im Besitz der Landeshauptstadt München befinden. Es werden sowohl barrierefreie als auch nicht barrierefreie Toiletten dargestellt. Der Nutzer kann auf ausführliche Informationen hinsichtlich Zugänglichkeit, Ausstattung und Zustand der Toiletten zugreifen. Wir bemühen uns, die Informationen zu den Maßnahmen aktuell und inhaltlich richtig anzubieten, die Karte bietet dennoch keine Gewähr auf Richtigkeit, Vollständigkeit und Aktualität."
wc_finder,WC-Standorte der Landeshauptstadt München,WFS (CSV),csv,91,True,"Die Daten beinhalten die Standorte der öffentlichen Toiletten, die sich im Besitz der Landeshauptstadt München befinden. Es werden sowohl barrierefreie als auch nicht barrierefreie Toiletten dargestellt. Der Nutzer kann auf ausführliche Informationen hinsichtlich Zugänglichkeit, Ausstattung und Zustand der Toiletten zugreifen. Wir bemühen uns, die Informationen zu den Maßnahmen aktuell und inhaltlich richtig anzubieten, die Karte bietet dennoch keine Gewähr auf Richtigkeit, Vollständigkeit und Aktualität."
